Model,Scenario,Region,Variable,Unit,2050
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Biomass,GW,6.327000000000001
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Coal,GW,9.586786459789394
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Gas,GW,17.96649246480746
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Hydro,GW,16.41004
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Oil,GW,0.0838
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Solar,GW,162.8599501512228
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Wind,GW,118.050515599043
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Wind|Offshore,GW,3.182623009988449
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Capacity|Electricity|Wind|Onshore,GW,114.8678925890546
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Germany,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1.45171826664061
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Biomass,GW,0.10577745015853
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Coal,GW,0.523018073365453
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Gas,GW,1.192254381390922
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Hydro,GW,0.11034865265237001
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Nuclear,GW,7.209874763552783
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Solar,GW,22.82671777598409
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Wind,GW,12.05337482876548
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Hungary,Capacity|Electricity|Wind|Onshore,GW,12.05337482876548
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Capacity|Electricity|Biomass,GW,7.715881427801808
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Capacity|Electricity|Gas,GW,2.756303989807861
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Capacity|Electricity|Hydro,GW,0.47570427886607003
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Capacity|Electricity|Wind,GW,67.16575419724539
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Capacity|Electricity|Wind|Offshore,GW,64.52898626168272
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Capacity|Electricity|Wind|Onshore,GW,2.636767935562683
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Ireland,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-15.57266225248815
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Biomass,GW,0.5946726924450291
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Coal,GW,1.705225578383676
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Gas,GW,2.415980601934903
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Hydro,GW,27.0006
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Oil,GW,0.001947536017978
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Solar,GW,154.9086310664406
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Wind,GW,73.12900002607567
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Italy,Capacity|Electricity|Wind|Onshore,GW,73.12900002607567
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Biomass,GW,6.763504568071038
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Coal,GW,2.293659507505286
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Gas,GW,20.92123825602451
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Hydro,GW,2.601732718748097
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Solar,GW,61.63957573288157
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Wind,GW,25.22195043127986
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Capacity|Electricity|Wind|Onshore,GW,25.22195043127986
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Poland,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-8.819563013552475
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Portugal,Capacity|Electricity|Biomass,GW,0.159416781501413
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Portugal,Capacity|Electricity|Gas,GW,0.6940152100471141
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Portugal,Capacity|Electricity|Hydro,GW,15.17579975595652
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Portugal,Capacity|Electricity|Solar,GW,26.44375304145068
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Portugal,Capacity|Electricity|Wind,GW,23.37737156227547
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Portugal,Capacity|Electricity|Wind|Onshore,GW,23.37737156227547
