HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
17;Q1A;0.394909;0.375164;0.049091;0.289375;0.498239;0.489;0.301846;0.240637;0.357102;0.255361;0.085583;0.065868;0.353564;0.344758;0.081088;0.423621;0.382617;0.253324;0.498676;0.150248;0.092371;0.19619;0.152949662;0.150547093;0.584069;0.589271;0.546117;0.466496;0.146180846;0.085583
18;Q1A;0.396111;0.371142;0.06024;0.234644;0.491362;0.495833333;0.301085;0.214694;0.324;0.247103;0.08138;0.071469;0.367354;0.31157;0.082176;0.364683;0.387942;0.227948;0.488791;0.16116;0.117497;0.196873;0.15194639;0.093058762;0.569616;0.540382;0.526289;0.434628;0.121505658;0.08138
19;Q1A;0.378968;0.379345;0.076893;0.189355;0.467501;0.509333333;0.296656;0.22162;0.298583;0.244068;0.076097;0.076429;0.360462;0.278779;0.08163;0.309144;0.401288;0.201111;0.469274;0.173338;0.154638;0.195683;0.151730792;0.043319126;0.551077;0.50247;0.518598;0.417067;0.099970039;0.076097
20;Q1N;0.352539;0.397426;0.096796;0.151622;0.445816;0.535166667;0.29875;0.227888;0.269713;0.247582;0.070828;0.079719;0.340776;0.247374;0.083144;0.282544;0.423562;0.181364;0.452304;0.175205;0.198491;0.19306;0.152413249;0.026336736;0.527241;0.462532;0.513898;0.405674;0.08280494;0.070828
21;Q1N;0.324942;0.410195;0.11317;0.126486;0.414026;0.567333333;0.302907;0.227693;0.243723;0.250252;0.066607;0.080446;0.316581;0.21862;0.089186;0.290703;0.437521;0.167101;0.426788;0.164639;0.235994;0.189111;0.15610715;0.02710719;0.500476;0.435431;0.511103;0.398803;0.078624862;0.066607
22;Q1N;0.294236;0.409509;0.120669;0.115376;0.380864;0.595333333;0.303568;0.23039;0.214956;0.248031;0.062836;0.077758;0.286032;0.208387;0.099771;0.307289;0.435034;0.157894;0.398083;0.14357;0.257457;0.183576;0.161900862;0.007669524;0.46837;0.398903;0.500429;0.386639;0.078083089;0.062836
23;Q1N;0.264194;0.408889;0.114867;0.115186;0.358225;0.623833333;0.301276;0.251015;0.193101;0.250558;0.064793;0.080938;0.257248;0.208646;0.106062;0.319772;0.42978;0.157916;0.365692;0.138277;0.246466;0.182527;0.169633274;0;0.440561;0.364435;0.476416;0.354042;0.078391995;0.064793
24;Q1N;0.23628;0.401525;0.101916;0.116874;0.338687;0.649;0.306423;0.27724;0.173896;0.249565;0.069928;0.084143;0.232315;0.202151;0.115261;0.323442;0.423348;0.165398;0.336649;0.149593;0.225946;0.181918;0.179060339;0;0.419195;0.32882;0.439193;0.307636;0.082554473;0.069928
25;Q1N;0.204382;0.384581;0.086789;0.110108;0.312068;0.665;0.314114;0.294721;0.162368;0.241302;0.075298;0.085129;0.20445;0.200085;0.128637;0.322022;0.41233;0.174519;0.311663;0.166141;0.202766;0.183859;0.189906538;0;0.39409;0.299956;0.394952;0.265718;0.08856028;0.075298
26;Q1N;0.175807;0.364067;0.072294;0.103602;0.287404;0.686333333;0.318715;0.303961;0.155351;0.232926;0.079593;0.085292;0.18229;0.21669;0.14046;0.313742;0.399095;0.180758;0.290767;0.18273;0.178733;0.184169;0.201903405;0;0.36546;0.278452;0.343903;0.228281;0.09612755;0.079593
