D_Battery_Li-Ion,Electricity|Energy Storage System|Energy Storage System|Lithium-Ion
D_Battery_Redox,Electricity|Energy Storage System|Energy Storage System|Redox Flow
D_PHS,Electricity|Energy Storage System|Energy Storage System|Hydro|Pumped Storage
D_CAES,Electricity|Energy Storage System|Energy Storage System|Compressed Air
