HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
18;Q1A;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.66;0.23011715;0.50313386;0.22581299;0.56;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
19;Q1A;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.66;0.23011715;0.50313386;0.22581299;0.57;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
20;Q1N;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.66;0.23011715;0.50313386;0.22581299;0.56;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
21;Q1N;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.65;0.23011715;0.50313386;0.22581299;0.55;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
22;Q1N;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.64;0.23011715;0.50313386;0.22581299;0.53;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
23;Q1N;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.62;0.23011715;0.50313386;0.22581299;0.51;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
24;Q1N;0.43298654;0.33562514;0.23877411;0.3;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.61;0.23011715;0.50313386;0.22581299;0.49;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
25;Q1N;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.59;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
26;Q1N;0.43298654;0.33562514;0.23877411;0.3;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.58;0.23011715;0.50313386;0.22581299;0.46;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
27;Q1N;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.57;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
28;Q1N;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.44;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
29;Q1N;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
30;Q1N;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.57;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
31;Q1M;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.58;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
32;Q1M;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.63;0.23011715;0.50313386;0.22581299;0.51;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
33;Q1M;0.43298654;0.33562514;0.23877411;0.26;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.69;0.23011715;0.50313386;0.22581299;0.56;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
34;Q1P;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.71;0.23011715;0.50313386;0.22581299;0.58;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
35;Q1P;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.72;0.23011715;0.50313386;0.22581299;0.59;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
36;Q1P;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.72;0.23011715;0.50313386;0.22581299;0.6;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
37;Q1P;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.71;0.23011715;0.50313386;0.22581299;0.61;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
38;Q1P;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.71;0.23011715;0.50313386;0.22581299;0.6;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
39;Q1A;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.7;0.23011715;0.50313386;0.22581299;0.6;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
40;Q1A;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.7;0.23011715;0.50313386;0.22581299;0.61;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
41;Q1A;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.71;0.23011715;0.50313386;0.22581299;0.62;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
42;Q1A;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.72;0.23011715;0.50313386;0.22581299;0.63;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
43;Q1A;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.72;0.23011715;0.50313386;0.22581299;0.64;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
44;Q1N;0.43298654;0.33562514;0.23877411;0.33;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.71;0.23011715;0.50313386;0.22581299;0.63;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
